Date,FTSE100,Rtn
7/18/1996,3693.4,0.00957622
7/19/1996,3710.5,0.004619195
7/22/1996,3681.3,-0.007900688
7/23/1996,3708.4,0.007334566
7/24/1996,3668.8,-0.010735884
7/25/1996,3684.7,0.004324478
7/26/1996,3673.3,-0.003098671
7/29/1996,3678.8,0.001496171
7/30/1996,3668.5,-0.002803753
7/31/1996,3703.2,0.009414452
8/1/1996,3734.4,0.008389852
8/2/1996,3770.6,0.009646977
8/5/1996,3788.3,0.00468323
8/6/1996,3788.4,2.63967E-05
8/7/1996,3811.1,0.005974095
8/8/1996,3811.4,7.87143E-05
8/9/1996,3810.7,-0.000183676
8/12/1996,3803.3,-0.001943788
8/13/1996,3823.4,0.005270968
8/14/1996,3830.3,0.00180305
8/15/1996,3837.4,0.001851925
8/16/1996,3872.9,0.009208526
8/19/1996,3863.7,-0.002378307
8/20/1996,3883.2,0.005034282
8/21/1996,3872.1,-0.00286256
8/22/1996,3891.1,0.004894898
8/23/1996,3907.5,0.004205889
8/27/1996,3905.7,-0.000460759
8/28/1996,3918.7,0.003322942
8/29/1996,3885,-0.008636982
8/30/1996,3867.6,-0.004488824
9/2/1996,3884.4,0.004334372
9/3/1996,3855.9,-0.007364089
9/4/1996,3872.7,0.004347495
9/5/1996,3887.2,0.003737166
9/6/1996,3893,0.001490965
9/9/1996,3910.8,0.004561888
9/10/1996,3916.1,0.001354304
9/11/1996,3905.6,-0.00268484
9/12/1996,3932.6,0.006889364
9/13/1996,3967.9,0.008936203
9/16/1996,3977.2,0.002341067
9/17/1996,3972.3,-0.001232782
9/18/1996,3955.7,-0.004187695
9/19/1996,3974.3,0.004691055
9/20/1996,3964.1,-0.002569789
9/23/1996,3919.7,-0.011263723
9/24/1996,3910.5,-0.002349877
9/25/1996,3935.7,0.006423514
9/26/1996,3933.2,-0.000635413
9/27/1996,3946.4,0.003350427
9/30/1996,3953.7,0.001848078
10/1/1996,3992.2,0.009690608
10/2/1996,4015.1,0.005719796
10/3/1996,4000,-0.003767893
10/4/1996,4024.8,0.006180859
10/7/1996,4031.5,0.001663295
10/8/1996,4035.6,0.001016474
10/9/1996,4009.3,-0.006538327
10/10/1996,3994.7,-0.00364818
10/11/1996,4028.1,0.008326318
10/14/1996,4038.7,0.002628057
10/15/1996,4050.8,0.002991534
10/16/1996,4024.4,-0.006538561
10/17/1996,4042.1,0.004388527
10/18/1996,4053.1,0.002717662
10/21/1996,4073.1,0.00492236
10/22/1996,4057.2,-0.0039113
10/23/1996,4028.4,-0.007123806
10/24/1996,3999.4,-0.007224925
10/25/1996,4022.4,0.00573439
10/28/1996,4025.3,0.000720703
10/29/1996,3993.5,-0.007931403
10/30/1996,3963.9,-0.00743965
10/31/1996,3979.1,0.003827274
11/1/1996,3948.5,-0.007719903
11/4/1996,3928.1,-0.005179912
11/5/1996,3921.1,-0.001783622
11/6/1996,3935.7,0.00371653
11/7/1996,3900.4,-0.009009645
11/8/1996,3910.8,0.002662845
11/11/1996,3914.4,0.000920104
11/12/1996,3934.3,0.005070914
11/13/1996,3926.9,-0.001882665
11/14/1996,3926.1,-0.000203744
11/15/1996,3958.2,0.00814281
11/18/1996,3962.1,0.000984811
11/19/1996,3978.1,0.004030131
11/20/1996,3962.8,-0.003853472
11/21/1996,3953.8,-0.002273704
11/22/1996,4018.7,0.016281325
11/25/1996,4054.6,0.008893572
11/26/1996,4068.4,0.003397763
11/27/1996,4049.2,-0.004730471
11/28/1996,4050.2,0.000246932
11/29/1996,4058,0.001923979
12/2/1996,4038.5,-0.004816906
12/3/1996,4061.5,0.005679028
12/4/1996,4045.2,-0.00402137
12/5/1996,4051.2,0.00148214
12/6/1996,3963,-0.022011819
12/9/1996,4011.6,0.01218885
12/10/1996,4035.7,0.005989604
12/11/1996,3982.5,-0.013270006
12/12/1996,3990.7,0.002056891
12/13/1996,3972.4,-0.004596208
12/16/1996,3993.8,0.005372713
12/17/1996,3979.6,-0.003561847
12/18/1996,4018.2,0.009652729
12/19/1996,4051.3,0.008203776
12/20/1996,4077.6,0.006470763
12/23/1996,4087.2,0.002351559
12/24/1996,4092.5,0.001295891
12/27/1996,4091,-0.000366591
12/30/1996,4115.7,0.00601949
12/31/1996,4118.5,0.00068009
1/2/1997,4057.4,-0.014946645
1/3/1997,4089.5,0.007880339
1/6/1997,4106.5,0.004148371
1/7/1997,4078.8,-0.006768257
1/8/1997,4087.5,0.002130709
1/9/1997,4087,-0.000122332
1/10/1997,4056.6,-0.00746602
1/13/1997,4107.3,0.012420694
1/14/1997,4168.2,0.01471841
1/15/1997,4158.9,-0.002233672
1/16/1997,4197.5,0.009238494
1/17/1997,4207.7,0.00242707
1/20/1997,4194,-0.003261248
1/21/1997,4195.5,0.00035759
1/22/1997,4219.1,0.005609313
1/23/1997,4219.1,0
1/24/1997,4218.8,-7.11077E-05
1/27/1997,4212,-0.001613133
1/28/1997,4237.4,0.006012279
1/29/1997,4207.5,-0.007081227
1/30/1997,4228.4,0.004955024
1/31/1997,4275.8,0.011147548
2/3/1997,4257.8,-0.004218624
2/4/1997,4260.9,0.000727811
2/5/1997,4281.5,0.00482301
2/6/1997,4265.9,-0.003650237
2/7/1997,4307.8,0.009774154
2/10/1997,4307.7,-2.3214E-05
2/11/1997,4304.3,-0.000789596
2/12/1997,4304.3,0
2/13/1997,4327.1,0.005283049
2/14/1997,4341,0.003207165
2/17/1997,4337.8,-0.000737429
2/18/1997,4332.3,-0.001268728
2/19/1997,4357.4,0.00577697
2/20/1997,4356.1,-0.000298388
2/21/1997,4336.8,-0.004440413
2/24/1997,4331.1,-0.001315198
2/25/1997,4344.7,0.00313516
2/26/1997,4329.3,-0.003550845
2/27/1997,4339.2,0.002284133
2/28/1997,4308.3,-0.007146605
3/3/1997,4307.1,-0.000278571
3/4/1997,4357.7,0.011679571
3/5/1997,4360.1,0.000550598
3/6/1997,4399.3,0.008950444
3/7/1997,4420.3,0.00476213
3/10/1997,4437.4,0.003861052
3/11/1997,4444.3,0.001553757
3/12/1997,4422.5,-0.004917229
3/13/1997,4397.7,-0.00562347
3/14/1997,4424.3,0.006030397
3/17/1997,4373.3,-0.011594201
3/18/1997,4356.8,-0.00378003
3/19/1997,4332.2,-0.005662347
3/20/1997,4258.1,-0.017252445
3/21/1997,4254.8,-0.000775294
3/24/1997,4214.8,-0.009445617
3/25/1997,4270.7,0.013175607
3/26/1997,4301.5,0.007186051
3/27/1997,4312.9,0.002646733
4/1/1997,4248.1,-0.015138708
4/2/1997,4236.6,-0.002710763
4/3/1997,4214.6,-0.005206373
4/4/1997,4236.6,0.005206373
4/7/1997,4271.7,0.008250814
4/8/1997,4269.3,-0.000561995
4/9/1997,4292.3,0.00537284
4/10/1997,4313.2,0.004857368
4/11/1997,4270.7,-0.00990234
4/14/1997,4251.7,-0.004458845
4/15/1997,4286.8,0.008221631
4/16/1997,4294.6,0.001817886
4/17/1997,4298.9,0.001000756
4/18/1997,4310.5,0.002694731
4/21/1997,4328.7,0.004213359
4/22/1997,4346.1,0.004011625
4/23/1997,4387.7,0.009526281
4/24/1997,4388.5,0.000182311
4/25/1997,4369.7,-0.004293126
4/28/1997,4389.7,0.004566531
4/29/1997,4433.2,0.009860783
4/30/1997,4436,0.000631399
5/1/1997,4445,0.002026799
5/2/1997,4455.6,0.002381863
5/6/1997,4519.3,0.014195383
5/7/1997,4537.5,0.004019085
5/8/1997,4580.4,0.009410131
5/9/1997,4630.9,0.010964903
5/12/1997,4669.6,0.008322181
5/13/1997,4691,0.004572364
5/14/1997,4686.9,-0.000874396
5/15/1997,4681.2,-0.001216896
5/16/1997,4693.9,0.002709306
5/19/1997,4645.2,-0.010429365
5/20/1997,4607.5,-0.008149018
5/21/1997,4642,0.007459897
5/22/1997,4651.8,0.002108934
5/23/1997,4661.8,0.002147398
5/27/1997,4681.6,0.004238292
5/28/1997,4677.5,-0.000876153
5/29/1997,4672.3,-0.001112323
5/30/1997,4621.3,-0.010975405
6/2/1997,4562.8,-0.012739581
6/3/1997,4557.8,-0.001096419
6/4/1997,4557.1,-0.000153595
6/5/1997,4576.2,0.004182503
6/6/1997,4645,0.014922413
6/9/1997,4686.7,0.008937338
6/10/1997,4739.6,0.011224034
6/11/1997,4724.8,-0.003127512
6/12/1997,4757.4,0.006876069
6/13/1997,4783.1,0.005387571
6/16/1997,4745.1,-0.007976365
6/17/1997,4682.2,-0.013344422
6/18/1997,4657,-0.005396621
6/19/1997,4653.7,-0.000708862
6/20/1997,4593.9,-0.012933266
6/23/1997,4575.8,-0.00394779
6/24/1997,4596.3,0.004470085
6/25/1997,4640,0.009462734
6/26/1997,4657.9,0.003850337
6/27/1997,4640.3,-0.003785683
6/30/1997,4604.6,-0.007723215
7/1/1997,4728.3,0.026509926
7/2/1997,4751.4,0.004873582
7/3/1997,4831.7,0.016759061
7/4/1997,4812.8,-0.003919337
7/7/1997,4810.7,-0.000436432
7/8/1997,4758.5,-0.010910111
7/9/1997,4762.4,0.00081925
7/10/1997,4767.8,0.00113324
7/11/1997,4799.5,0.006626763
7/14/1997,4857.4,0.01199157
7/15/1997,4899.3,0.008589022
7/16/1997,4964.2,0.013159819
7/17/1997,4949,-0.003066621
7/18/1997,4877.2,-0.014614251
7/21/1997,4805.7,-0.014768571
7/22/1997,4846.7,0.008495348
7/23/1997,4874.5,0.005719474
7/24/1997,4862.9,-0.002382567
7/25/1997,4851.5,-0.002347032
7/28/1997,4862.6,0.002285339
7/29/1997,4876.6,0.002874981
7/30/1997,4927.3,0.010342915
7/31/1997,4907.5,-0.004026524
8/1/1997,4899.3,-0.001672309
8/4/1997,4895.7,-0.000735069
8/5/1997,4960.6,0.013169432
8/6/1997,5026.2,0.01313753
8/7/1997,5086.8,0.011984718
8/8/1997,5031.3,-0.010970549
8/11/1997,5031.9,0.000119246
8/12/1997,5075.8,0.008686502
8/13/1997,5003.6,-0.014326495
8/14/1997,4991.3,-0.002461256
8/15/1997,4865.8,-0.025465255
8/18/1997,4835,-0.006350013
8/19/1997,4914.2,0.016247844
8/20/1997,4958.4,0.008954135
8/21/1997,4978,0.003945096
8/22/1997,4901.1,-0.015568534
8/26/1997,4886.3,-0.003024299
8/27/1997,4906.9,0.004207007
8/28/1997,4845.4,-0.012612577
8/29/1997,4817.5,-0.00577468
9/1/1997,4870.2,0.010879883
9/2/1997,4952.2,0.016696918
9/3/1997,4976.9,0.004975285
9/4/1997,4991.3,0.00288919
9/5/1997,4994.2,0.000580842
9/8/1997,4985.2,-0.001803716
9/9/1997,4950.5,-0.006984941
9/10/1997,4905.2,-0.009192715
9/11/1997,4854.8,-0.010327961
9/12/1997,4848.2,-0.001360404
9/15/1997,4902.9,0.011219365
9/16/1997,4976.4,0.014879871
9/17/1997,5013.1,0.007347748
9/18/1997,5046.2,0.006580999
9/19/1997,5023.8,-0.004448865
9/22/1997,5075.7,0.010277827
9/23/1997,5027.5,-0.009541604
9/24/1997,5077.2,0.009837086
9/25/1997,5065.5,-0.002307079
9/26/1997,5226.3,0.031250721
9/29/1997,5220.3,-0.001148699
9/30/1997,5244.2,0.004567832
10/1/1997,5317.1,0.013805338
10/2/1997,5296.1,-0.003957341
10/3/1997,5330.8,0.00653062
10/6/1997,5300,-0.0057945
10/7/1997,5305.6,0.001056046
10/8/1997,5262.1,-0.00823268
10/9/1997,5217.8,-0.00845433
10/10/1997,5227.3,0.001819035
10/13/1997,5300.1,0.013830796
10/14/1997,5298.9,-0.000226436
10/15/1997,5263.7,-0.00666505
10/16/1997,5287.9,0.00458699
10/17/1997,5271.1,-0.003182122
10/20/1997,5211,-0.011467293
10/21/1997,5225.9,0.002855256
10/22/1997,5148.8,-0.014863354
10/23/1997,4991.5,-0.031027212
10/24/1997,4970.2,-0.004276385
10/27/1997,4840.7,-0.026400742
10/28/1997,4755.4,-0.017778524
10/29/1997,4871.8,0.024182664
10/30/1997,4801.9,-0.014451806
10/31/1997,4842.3,0.008378142
11/3/1997,4906.4,0.013150661
11/4/1997,4897.4,-0.001836023
11/5/1997,4908.3,0.002223198
11/6/1997,4863.8,-0.009107624
11/7/1997,4764.3,-0.020669404
11/10/1997,4806.8,0.00888096
11/11/1997,4793.7,-0.002729026
11/12/1997,4720.4,-0.015409014
11/13/1997,4711,-0.001993342
11/14/1997,4741.8,0.006516611
11/17/1997,4867,0.02606092
